LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.75,-123.25,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.75,-123.25,KT,              0.55,              0.55,              0.58,              0.61,              0.59,              0.56,              0.48,              0.52,              0.55,              0.57,              0.58,              0.55,              0.56
33.75,-123.25,CLRSKY_SFC_SW_DWN,              3.84,              4.94,              6.40,              7.66,              8.46,              8.72,              8.52,              7.84,              6.72,              5.31,              4.08,              3.51,              6.33
33.75,-123.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-123.25,ALLSKY_SFC_SW_DWN,              2.96,              3.69,              4.90,              6.19,              6.61,              6.42,              5.48,              5.50,              4.89,              4.13,              3.29,              2.74,              4.73
33.75,-122.75,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.75,-122.75,KT,              0.56,              0.56,              0.59,              0.62,              0.60,              0.56,              0.48,              0.51,              0.55,              0.57,              0.59,              0.56,              0.56
33.75,-122.75,CLRSKY_SFC_SW_DWN,              3.85,              4.96,              6.41,              7.68,              8.49,              8.79,              8.55,              7.86,              6.74,              5.33,              4.11,              3.51,              6.36
33.75,-122.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-122.75,ALLSKY_SFC_SW_DWN,              3.00,              3.75,              4.98,              6.28,              6.64,              6.47,              5.48,              5.39,              4.91,              4.08,              3.36,              2.79,              4.76
33.75,-122.25,DNR,              4.95,              5.16,              6.04,              7.08,              6.76,              6.10,              4.51,              4.95,              5.25,              5.31,              5.53,              4.92,              5.55
33.75,-122.25,KT,              0.56,              0.56,              0.59,              0.62,              0.60,              0.56,              0.48,              0.51,              0.55,              0.57,              0.59,              0.56,              0.56
33.75,-122.25,CLRSKY_SFC_SW_DWN,              3.85,              4.96,              6.41,              7.68,              8.49,              8.79,              8.55,              7.86,              6.74,              5.33,              4.11,              3.51,              6.36
33.75,-122.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-122.25,ALLSKY_SFC_SW_DWN,              3.00,              3.75,              4.98,              6.28,              6.64,              6.47,              5.48,              5.39,              4.91,              4.08,              3.36,              2.79,              4.76
33.75,-121.75,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.75,-121.75,KT,              0.57,              0.57,              0.60,              0.63,              0.60,              0.56,              0.47,              0.50,              0.55,              0.57,              0.60,              0.58,              0.57
33.75,-121.75,CLRSKY_SFC_SW_DWN,              3.86,              4.98,              6.43,              7.72,              8.54,              8.84,              8.57,              7.88,              6.74,              5.34,              4.12,              3.51,              6.38
33.75,-121.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-121.75,ALLSKY_SFC_SW_DWN,              3.06,              3.85,              5.03,              6.37,              6.71,              6.47,              5.43,              5.26,              4.88,              4.07,              3.41,              2.86,              4.78
33.75,-121.25,DNR,              5.14,              5.42,              6.16,              7.27,              6.90,              6.10,              4.43,              4.71,              5.19,              5.29,              5.68,              5.16,              5.62
33.75,-121.25,KT,              0.57,              0.57,              0.60,              0.63,              0.60,              0.56,              0.47,              0.50,              0.55,              0.57,              0.60,              0.58,              0.57
33.75,-121.25,CLRSKY_SFC_SW_DWN,              3.86,              4.98,              6.43,              7.72,              8.54,              8.84,              8.57,              7.88,              6.74,              5.34,              4.12,              3.51,              6.38
33.75,-121.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-121.25,ALLSKY_SFC_SW_DWN,              3.06,              3.85,              5.03,              6.37,              6.71,              6.47,              5.43,              5.26,              4.88,              4.07,              3.41,              2.86,              4.78
33.75,-120.75,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.75,-120.75,KT,              0.59,              0.59,              0.61,              0.64,              0.61,              0.56,              0.49,              0.51,              0.55,              0.58,              0.61,              0.59,              0.58
33.75,-120.75,CLRSKY_SFC_SW_DWN,              3.87,              5.00,              6.44,              7.76,              8.57,              8.85,              8.58,              7.87,              6.74,              5.37,              4.14,              3.53,              6.39
33.75,-120.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-120.75,ALLSKY_SFC_SW_DWN,              3.14,              3.95,              5.18,              6.49,              6.83,              6.48,              5.55,              5.39,              4.93,              4.15,              3.48,              2.94,              4.88
33.75,-120.25,DNR,              5.40,              5.69,              6.52,              7.54,              7.14,              6.12,              4.63,              4.95,              5.29,              5.49,              5.90,              5.43,              5.84
33.75,-120.25,KT,              0.59,              0.59,              0.61,              0.64,              0.61,              0.56,              0.49,              0.51,              0.55,              0.58,              0.61,              0.59,              0.58
33.75,-120.25,CLRSKY_SFC_SW_DWN,              3.87,              5.00,              6.44,              7.76,              8.57,              8.85,              8.58,              7.87,              6.74,              5.37,              4.14,              3.53,              6.39
33.75,-120.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-120.25,ALLSKY_SFC_SW_DWN,              3.14,              3.95,              5.18,              6.49,              6.83,              6.48,              5.55,              5.39,              4.93,              4.15,              3.48,              2.94,              4.88
33.75,-119.75,DNR,              5.63,              6.00,              6.90,              7.92,              7.47,              6.40,              5.46,              5.71,              5.87,              5.69,              6.29,              5.68,              6.25
33.75,-119.75,KT,              0.60,              0.61,              0.63,              0.66,              0.63,              0.57,              0.54,              0.56,              0.59,              0.59,              0.63,              0.60,              0.60
33.75,-119.75,CLRSKY_SFC_SW_DWN,              3.89,              5.03,              6.46,              7.79,              8.60,              8.85,              8.56,              7.86,              6.74,              5.38,              4.16,              3.55,              6.41
33.75,-119.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-119.75,ALLSKY_SFC_SW_DWN,              3.21,              4.06,              5.34,              6.66,              6.99,              6.63,              6.03,              5.80,              5.20,              4.23,              3.60,              3.01,              5.06
34.25,-124.25,DNR,              4.50,              4.86,              5.76,              6.75,              6.67,              6.04,              4.95,              5.36,              5.29,              5.52,              5.08,              4.54,              5.44
34.25,-124.25,KT,              0.53,              0.55,              0.57,              0.60,              0.59,              0.57,              0.50,              0.53,              0.55,              0.57,              0.56,              0.53,              0.56
34.25,-124.25,CLRSKY_SFC_SW_DWN,              3.71,              4.82,              6.28,              7.57,              8.45,              8.75,              8.50,              7.81,              6.65,              5.21,              3.94,              3.37,              6.26
34.25,-124.25,ALLSKY_TOA_SW_DWN,              5.21,              6.61,              8.41,             10.06,             11.13,             11.54,             11.29,             10.39,              8.94,              7.16,              5.56,              4.78,              8.42
34.25,-124.25,ALLSKY_SFC_SW_DWN,              2.77,              3.56,              4.79,              6.08,              6.57,              6.42,              5.72,              5.58,              4.87,              4.09,              3.13,              2.59,              4.68
34.25,-123.75,DNR,              4.65,              4.94,              5.81,              6.97,              6.79,              6.21,              4.79,              5.19,              5.26,              5.52,              5.23,              4.64,              5.50
34.25,-123.75,KT,              0.54,              0.55,              0.58,              0.61,              0.59,              0.57,              0.49,              0.52,              0.55,              0.57,              0.57,              0.54,              0.56
34.25,-123.75,CLRSKY_SFC_SW_DWN,              3.72,              4.82,              6.29,              7.62,              8.48,              8.78,              8.54,              7.84,              6.67,              5.23,              3.96,              3.37,              6.28
